ID,Material,Name,Density,Embodied Carbon
1,AggregateSand,"Aggregates and sand, general UK, mixture of land won, marine, secondary and recycled, bulk, loose",1600.0,0.007469645473733029
2,AggregateSand,"Aggregates and sand, general, virgin mixture of land won and marine, bulk, loose",1600.0,0.004927788903286607
3,AggregateSand,"Aggregates and sand, from virgin land won resources, bulk, loose",1600.0,0.004384350223880597
4,AggregateSand,"Aggregates and sand, from virgin marine resources, bulk, loose",1600.0,0.009037500000000002
5,AggregateSand,"Aggregates and sand, from recycled resources, no heat treatment, bulk, loose",1600.0,0.006095311666666666
6,AggregateSand,"Aggregates and sand, from recycled resources, with heat treatment, bulk, loose",1600.0,0.11877166666666666
7,AggregateSand,"Aggregates and sand,  expanded clay, bulk, loose",1600.0,0.393208
8,AggregateSand,"Aggregates,  expanded foamed glass, bulk, loose",1600.0,0.27763
9,AggregateSand,"Aggregates and sand, from secondary resources, bulk, loose",1600.0,0.06332299999999999
10,AggregateSand,"Aggregates and sand, mixture of recycled and secondary resources, bulk, loose",1600.0,0.014181253693490319
11,Aluminium,"Aluminium General, European Mix, Inc Imports",2750.0,6.668717530534737
12,Aluminium,"Aluminium sheet, European Mix, Inc Imports",2750.0,6.581175999999999
13,Aluminium,"Aluminium foil, European Mix, Inc Imports",2750.0,7.468977999999998
14,Aluminium,"Aluminium extruded profile, European Mix, Inc Imports",2750.0,6.8252419999999985
15,Aluminium,"Aluminium, cast, European Mix, Inc Imports",2750.0,6.7151900884210525
16,Aluminium,"Aluminium General, Worldwide",2750.0,13.055539991305551
17,Aluminium,"Aluminium sheet, Worldwide",2750.0,12.95589499130555
18,Aluminium,"Aluminium foil, Worldwide",2750.0,13.766894991305549
19,Aluminium,"Aluminium extruded profile, Worldwide",2750.0,13.176394991305548
20,Aluminium,"Aluminium cast, Worldwide",2750.0,13.186894991305548
21,Aluminium,"Aluminium, North American",2750.0,5.651616031355548
22,Aluminium,"Aluminium, Africa",2750.0,12.405749895609985
23,Aluminium,"Aluminium, China",2750.0,14.593568656260635
24,Aluminium,"Aluminium, Japan",2750.0,10.624512538347433
25,Aluminium,"Aluminium, Middle East",2750.0,10.809800161935325
26,Aluminium,"Aluminium, Oceania",2750.0,12.752084585609984
27,Aluminium,"Aluminium, Other Asia",2750.0,15.869096795609984
28,Aluminium,"Aluminium, Russia",2750.0,5.548323033609984
29,Aluminium,"Aluminium, South America",2750.0,8.319000553609985
30,Aluminium,"Aluminium, South Korea",2750.0,11.946853210535124
31,Aluminium,"Aluminium, produced in Europe",2750.0,5.583938202538153
32,Asphalt,"Asphalt, 3% (bitumen) binder content (by mass)",2350.0,50.091130474268496
33,Asphalt,"Asphalt, 3.5% binder content",2350.0,51.125283227539505
34,Asphalt,"Asphalt, 4% binder content",2350.0,52.1594359808105
